season,price_AUS,price_CHF,price_CZE,price_GER,price_ESP,price_FRA,price_UK,price_ITA,price_POL,price_SVK
spring,-2.1002057032670463,9.644027877268496,-1.6862480951361345,-1.7480763846576997,-3.666005401185653,-4.104758711201375,-1.822719793809122,-3.931031226630509,-2.3308025781329693,-3.238196806151894
summer,-2.067576019873271,7.246060839801865,-2.132376793025196,-2.054362689375965,-3.295697362768889,-4.104758711201375,-1.826020734538732,-4.029361533184704,-2.3308025781329693,-3.212894038068976
autumn,-2.101936612395246,7.620084525124941,-1.910282322098292,-1.711162616076221,-3.3887770425186,-3.9880274782947094,-2.0344094633004044,-4.07384968174626,-2.3308025781329693,-3.1140608060213903
winter,-2.098474794138846,8.411894126184295,-1.9038339152889736,-1.570118283620898,-3.5882350230573223,-3.9655559881537763,-2.214720237603755,-4.018619529985996,-2.3308025781329693,-3.1883838834140867
spring,-1.9696869696919452,8.926884394111717,-1.6972571746624916,-1.331048774194998,-3.832062605036523,-3.911095754248923,-2.38809158801026,-4.093945694376051,-2.220586715165722,-3.1883838834140867
summer,-1.9352094271584743,8.10471937234669,-1.4884336952919652,-1.3674878386364056,-3.878786087919237,-3.831496736527165,-2.2755841185122176,-4.014349398025618,-2.0966372628493413,-3.175930652729635
autumn,-1.4572315340014128,7.00274869273368,-1.335631668876976,-1.005940953799607,-4.217286651633469,-3.8531985374491153,-2.322982317589682,-3.697377974082677,-2.0576097103020703,-2.8835447754275023
winter,-1.5140247862370348,5.502235709529939,-0.8942214643414823,-0.888318337135227,-4.789650666172494,-3.5184141090444907,-2.756391569895237,-3.60208823579142,-1.7797232632967352,-2.6085421547377514
spring,-1.0446879644068474,4.574785482261416,-0.7121386102963517,-0.5322937147507442,-4.858777849885247,-2.997490240619498,-3.12758663472625,-3.516953755809664,-1.5871058642346836,-2.305818074060227
summer,-0.5788580280246837,5.646297078268786,-0.1197614415786506,-0.1498300557358167,-5.180666096183696,-3.097591657304892,-3.0420623775087954,-3.2782956755012185,-1.4472169893820481,-1.7509646515583128
autumn,-0.7851827670949075,5.154612619453206,0.1553206982619942,-0.2615087392081199,-5.451833089674116,-2.888292560644867,-3.0752727657764627,-2.90776117573968,-1.1848362620725768,-1.464045081882884
winter,-0.38462121919475983,4.584882376669243,0.3950144744151098,0.1148162186391338,-5.514115897245764,-2.98015739514886,-3.5231609847453056,-2.78620005684254,-0.7888325018793452,-1.0693153186714175
